,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Depth,Mod
117,141,60,11,20,273,20,332,30,46,0.0028005302434167298,15,NewGudkova
36,3,0,94,73,273,16,50,78,-168,0.003195231573178297,15,NewGudkova
2,99,68,5,1,275,21,2,24,86,0.003429126979196998,15,NewGudkova
58,47,60,178,20,276,20,170,68,68,0.0038603277669539636,15,NewGudkova
39,20,37,166,47,276,17,52,50,164,0.004016604041523969,15,NewGudkova
27,32,51,174,31,276,19,46,38,148,0.004068185759905375,15,NewGudkova
66,90,68,184,1,275,20,184,66,88,0.004086025276456708,15,NewGudkova
70,105,68,6,3,274,20,188,66,94,0.004383691075031316,15,NewGudkova
105,4,2,103,72,273,16,318,80,-14,0.004464094106224754,15,NewGudkova
106,158,47,17,35,272,20,320,40,26,0.004596343078856165,15,NewGudkova
12,67,66,182,10,276,20,24,26,114,0.0046524598389788814,15,NewGudkova
62,74,68,183,7,276,20,180,66,82,0.005073084159710811,15,NewGudkova
42,7,11,130,69,274,16,52,70,-176,0.005201444928514557,15,NewGudkova
3,97,68,5,0,275,21,4,24,88,0.00608729045959922,15,NewGudkova
83,159,46,17,36,272,19,210,74,128,0.0063602459825667975,15,NewGudkova
24,40,57,177,25,276,19,42,34,140,0.007542245307977296,15,NewGudkova
26,36,54,175,28,276,19,44,36,144,0.007679250424711638,15,NewGudkova
30,30,49,172,34,276,19,48,40,152,0.0084710816492344,15,NewGudkova
116,146,57,13,23,273,21,328,32,40,0.008545602589392274,15,NewGudkova
9,88,68,184,2,275,21,10,24,96,0.00897945609179191,15,NewGudkova
96,166,38,22,45,272,19,316,48,16,0.009043127115302987,15,NewGudkova
8,90,68,184,1,274,21,8,24,94,0.009681013516179436,15,NewGudkova
65,84,68,183,3,275,20,182,66,86,0.00981528142767409,15,NewGudkova
107,7,8,122,71,274,16,320,84,-18,0.010065866762339656,15,NewGudkova
14,57,64,181,14,276,20,30,28,122,0.010230418512586907,15,NewGudkova
74,136,62,11,16,274,21,198,68,108,0.010695712094216483,15,NewGudkova
44,11,19,148,63,275,16,144,88,26,0.010718406716808574,15,NewGudkova
121,126,65,9,11,274,21,344,26,62,0.01072538425395325,15,NewGudkova
87,173,25,35,57,272,18,222,86,148,0.010942941419264584,15,NewGudkova
49,18,33,162,50,275,17,150,80,38,0.011061494268725325,15,NewGudkova
1,101,68,5,2,274,21,0,24,84,0.011146189408152566,15,NewGudkova
114,151,54,14,26,273,20,326,34,36,0.011234707798348184,15,NewGudkova
43,7,8,123,71,274,16,52,72,-174,0.011332488422938098,15,NewGudkova
118,135,62,10,16,273,21,336,28,52,0.011488063327365777,15,NewGudkova
11,68,67,182,9,275,20,22,26,112,0.0116145309753872,15,NewGudkova
61,69,67,182,9,275,20,178,66,80,0.011817148651663154,15,NewGudkova
32,180,8,65,71,273,16,48,84,-162,0.011928133348191384,15,NewGudkova
103,163,42,21,40,272,19,318,44,20,0.011952941097237288,15,NewGudkova
69,99,68,5,1,274,20,186,66,92,0.012020407843980533,15,NewGudkova
119,135,63,10,16,274,20,338,28,54,0.012428547031830016,15,NewGudkova
101,181,5,73,72,273,16,316,74,-8,0.012901736679793106,15,NewGudkova
111,9,13,137,67,275,16,322,88,-22,0.013022112646051654,15,NewGudkova
19,50,62,179,18,277,19,36,30,130,0.01335471121589223,15,NewGudkova
50,19,36,165,48,276,17,152,78,40,0.013424313472998021,15,NewGudkova
35,25,43,169,40,276,18,50,44,158,0.013728477270894936,15,NewGudkova
99,180,8,64,71,273,16,316,72,-6,0.013787432766009926,15,NewGudkova
126,109,68,6,4,275,21,356,24,78,0.013837405974133084,15,NewGudkova
5,96,68,5,0,276,21,6,24,90,0.013899126310618855,15,NewGudkova
68,95,69,185,0,276,20,186,66,90,0.013899126310618855,15,NewGudkova
29,178,15,50,65,273,18,46,88,-156,0.014053072247245064,15,NewGudkova
38,22,39,167,44,276,18,52,48,162,0.014056240278558662,15,NewGudkova
47,15,29,159,55,275,17,148,82,34,0.01420100221065519,15,NewGudkova
127,107,68,7,4,275,21,358,24,80,0.014237560832361064,15,NewGudkova
53,27,45,171,38,276,19,158,74,50,0.014421990716611056,15,NewGudkova
97,168,35,24,48,272,18,316,50,14,0.014488161351502899,15,NewGudkova
40,18,34,164,49,275,17,52,52,166,0.015013163848615552,15,NewGudkova
34,26,45,171,39,277,17,50,44,156,0.01525247744576939,15,NewGudkova
55,30,49,172,33,276,18,160,72,54,0.015304099041801553,15,NewGudkova
110,156,50,15,32,272,19,322,38,30,0.015485796370028919,15,NewGudkova
88,173,23,35,59,272,17,222,86,150,0.01564092259993129,15,NewGudkova
10,86,68,184,3,275,21,12,24,98,0.015740090405471488,15,NewGudkova
56,34,53,176,29,277,18,164,70,58,0.01592618522433529,15,NewGudkova
6,92,68,184,0,274,21,6,24,92,0.016196515356662864,15,NewGudkova
52,22,40,168,44,276,17,154,76,44,0.016316306965857594,15,NewGudkova
92,173,23,36,59,271,18,314,60,4,0.016332605075908165,15,NewGudkova
64,80,68,184,5,276,20,182,66,84,0.016576775012106578,15,NewGudkova
41,8,14,136,67,274,16,52,68,-178,0.01679359431019994,15,NewGudkova
22,44,59,178,22,277,19,40,32,136,0.01679520476941034,15,NewGudkova
71,111,68,7,5,275,20,190,66,96,0.016891594391558136,15,NewGudkova
102,160,44,19,38,272,20,318,42,22,0.016930211581491317,15,NewGudkova
75,138,61,10,18,273,20,198,68,110,0.01694195447897198,15,NewGudkova
73,131,63,9,14,273,21,196,68,106,0.01716202060078781,15,NewGudkova
93,174,20,39,61,272,18,314,62,2,0.0172246614757708,15,NewGudkova
80,153,52,15,30,272,20,206,72,122,0.017261537306799194,15,NewGudkova
124,122,66,7,10,273,20,346,26,66,0.017299969791387284,15,NewGudkova
45,12,20,147,61,274,17,144,88,28,0.017340092759254723,15,NewGudkova
28,178,13,50,67,272,16,46,88,-158,0.017473096848561097,15,NewGudkova
54,28,48,173,35,277,18,160,72,52,0.01825694353030462,15,NewGudkova
77,146,57,12,24,272,20,202,70,116,0.018265783969694305,15,NewGudkova
98,181,7,70,70,273,18,316,72,-8,0.01831189578367341,15,NewGudkova
86,171,27,31,55,271,18,220,84,146,0.018326954825540875,15,NewGudkova
120,127,64,9,12,274,21,342,26,60,0.018413499007620914,15,NewGudkova
20,48,61,178,19,275,20,36,30,132,0.01854047360557808,15,NewGudkova
91,172,25,32,57,271,18,314,58,6,0.01856178155308147,15,NewGudkova
78,150,55,13,26,273,20,204,70,118,0.018952487545309156,15,NewGudkova
122,123,66,7,11,273,20,344,26,64,0.01917477631138689,15,NewGudkova
16,57,64,181,15,277,20,32,28,124,0.019178369425068804,15,NewGudkova
112,154,52,16,29,273,20,324,36,32,0.01921054120736122,15,NewGudkova
76,144,58,13,22,274,21,202,70,114,0.01921759894692763,15,NewGudkova
85,162,42,19,40,271,19,212,76,132,0.01938015017259696,15,NewGudkova
82,158,48,18,34,273,20,210,74,126,0.019460147202376335,15,NewGudkova
51,20,37,165,46,275,18,152,78,42,0.019516240516791766,15,NewGudkova
128,103,68,5,3,274,21,358,24,82,0.019763653678436136,15,NewGudkova
89,175,20,40,61,273,17,224,88,152,0.01985136124672974,15,NewGudkova
72,115,68,6,7,273,20,190,66,98,0.01991671201186568,15,NewGudkova
0,105,68,7,3,276,21,0,24,82,0.020030621226215458,15,NewGudkova
125,110,67,6,5,274,21,354,24,76,0.020130490345128465,15,NewGudkova
113,153,53,14,29,272,19,324,36,34,0.020497833652036924,15,NewGudkova
21,44,60,178,21,276,19,38,32,134,0.020734383840049827,15,NewGudkova
46,14,23,152,59,275,17,146,86,30,0.020961138468259907,15,NewGudkova
95,166,36,25,46,272,20,316,48,14,0.021083601898186827,15,NewGudkova
104,184,0,93,73,274,16,318,78,-12,0.02115463521795996,15,NewGudkova
60,66,66,182,10,277,20,178,66,78,0.021280994246433177,15,NewGudkova
63,78,68,182,5,274,20,180,66,84,0.021313738190118378,15,NewGudkova
94,175,18,44,64,272,18,314,64,0,0.02160955322686437,15,NewGudkova
48,17,32,163,52,276,16,150,80,36,0.021714239633224056,15,NewGudkova
115,149,56,12,26,272,20,326,34,38,0.021765994614882725,15,NewGudkova
25,38,56,175,26,275,20,42,34,142,0.021769496274126377,15,NewGudkova
59,61,66,181,12,276,19,176,66,76,0.021799818122437205,15,NewGudkova
84,161,44,20,38,272,20,212,76,130,0.02190675791372024,15,NewGudkova
13,66,66,182,11,276,20,26,26,116,0.021957159581962187,15,NewGudkova
7,94,68,186,0,276,21,8,24,92,0.02196498774499687,15,NewGudkova
123,125,66,9,11,275,20,346,26,64,0.02215836222354727,15,NewGudkova
18,50,62,179,17,276,19,34,30,128,0.02223933197803777,15,NewGudkova
109,157,49,17,32,273,20,322,38,28,0.02236773138180511,15,NewGudkova
23,42,58,176,23,275,20,40,32,138,0.022410099462516753,15,NewGudkova
33,180,9,64,69,273,18,48,84,-160,0.022560177121941256,15,NewGudkova
31,181,5,73,72,272,16,48,82,-164,0.022712471115642265,15,NewGudkova
17,54,63,179,16,275,20,32,28,126,0.022856800684696303,15,NewGudkova
79,152,53,15,28,273,21,206,72,120,0.02297487361920448,15,NewGudkova
108,7,11,129,69,273,16,320,86,-20,0.023195684565046382,15,NewGudkova
