,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Depth,Mod
37,209,81,69,6,339,5,62,40,80,0.0014063720830111224,15,NewGudkova
191,228,48,345,22,90,32,232,24,158,0.0027468838718249975,15,NewGudkova
28,251,79,59,10,149,2,50,48,76,0.002917234684329351,15,NewGudkova
73,180,55,278,5,12,34,124,12,116,0.003463829322718429,15,NewGudkova
99,186,49,286,8,23,38,162,10,146,0.003502782110444756,15,NewGudkova
147,202,43,308,15,52,41,214,16,176,0.003711800457855837,15,NewGudkova
158,208,44,316,17,62,40,220,18,174,0.003755694901340654,15,NewGudkova
292,193,45,296,11,37,41,296,88,78,0.0038507020368886134,15,NewGudkova
282,180,54,279,5,13,34,278,80,84,0.004222150023617843,15,NewGudkova
22,259,72,46,14,138,9,36,56,72,0.004476594277823336,15,NewGudkova
251,260,72,46,14,139,9,246,38,114,0.0046451747688930145,15,NewGudkova
47,177,72,81,1,350,17,78,28,86,0.005028620284614696,15,NewGudkova
90,185,51,284,7,20,37,152,10,138,0.0054142633434401295,15,NewGudkova
125,193,45,296,11,36,41,196,12,170,0.005507822562217068,15,NewGudkova
278,176,62,270,1,1,26,270,72,88,0.005547945119675134,15,NewGudkova
136,197,44,302,13,45,41,206,14,174,0.005907724564334545,15,NewGudkova
192,226,48,343,22,89,33,232,24,160,0.005929526197634489,15,NewGudkova
313,226,48,343,21,88,33,340,82,68,0.006111381117263182,15,NewGudkova
92,184,50,284,7,20,38,154,10,140,0.006715375528790546,15,NewGudkova
262,241,81,63,8,333,0,252,46,102,0.0073960221400555,15,NewGudkova
120,191,46,294,11,34,41,192,12,168,0.007405469702786106,15,NewGudkova
177,219,46,333,21,79,36,228,22,166,0.007442986088976421,15,NewGudkova
101,186,49,286,8,23,39,164,10,148,0.007579222757002989,15,NewGudkova
310,221,46,336,21,82,35,334,84,68,0.007582474506107638,15,NewGudkova
106,188,48,288,8,25,39,170,10,152,0.007645034467528748,15,NewGudkova
97,186,50,286,8,22,38,160,10,144,0.007675257564415926,15,NewGudkova
59,175,62,270,2,1,27,98,18,98,0.007690503911926082,15,NewGudkova
46,176,74,79,1,348,15,76,30,86,0.007840074032979956,15,NewGudkova
267,203,80,71,6,340,6,256,52,98,0.007873021947080368,15,NewGudkova
200,232,51,354,22,98,29,234,26,152,0.007969052451904343,15,NewGudkova
32,233,81,64,8,334,1,56,44,78,0.008038763284665521,15,NewGudkova
72,181,55,278,4,11,33,122,12,114,0.008104032665564217,15,NewGudkova
254,260,75,52,12,143,6,248,40,110,0.00812329322493491,15,NewGudkova
36,220,82,67,6,337,3,60,42,80,0.008289798415996936,15,NewGudkova
31,244,81,62,8,152,0,54,46,78,0.008557435701418491,15,NewGudkova
199,234,52,356,22,99,28,234,26,150,0.008566793268581034,15,NewGudkova
307,215,45,327,19,73,37,326,86,70,0.008721965460412222,15,NewGudkova
62,176,60,272,3,4,29,104,16,102,0.00897246656890434,15,NewGudkova
150,204,43,310,15,54,41,216,16,176,0.009000296569064418,15,NewGudkova
271,182,76,77,3,347,12,260,58,94,0.009040506293764936,15,NewGudkova
270,182,78,75,3,345,10,258,56,94,0.00916651671240457,15,NewGudkova
104,188,49,288,8,25,39,168,10,150,0.009192155000083541,15,NewGudkova
171,215,44,326,19,73,38,226,20,170,0.009229520130342438,15,NewGudkova
285,185,50,284,7,21,38,284,84,82,0.009392571597903474,15,NewGudkova
302,210,44,318,17,64,40,318,88,72,0.009506783063989228,15,NewGudkova
287,187,48,288,9,27,40,288,86,80,0.00953941077052015,15,NewGudkova
176,220,46,335,21,81,35,228,22,164,0.009557878850592234,15,NewGudkova
17,257,68,38,17,132,12,28,60,70,0.009572905589965227,15,NewGudkova
166,213,44,324,19,71,38,224,20,170,0.009598395814204463,15,NewGudkova
122,193,46,296,11,36,41,194,12,168,0.009715907563628617,15,NewGudkova
9,251,62,25,20,122,18,16,66,68,0.00972136931277108,15,NewGudkova
38,201,80,71,6,341,7,64,38,80,0.009773317472586219,15,NewGudkova
266,211,82,68,6,338,4,254,50,98,0.009807051135172383,15,NewGudkova
159,206,43,314,17,60,41,220,18,176,0.010051925734785144,15,NewGudkova
75,179,54,278,5,12,34,128,12,120,0.010083814695654492,15,NewGudkova
140,198,44,302,13,45,42,208,14,176,0.010106177310057267,15,NewGudkova
167,211,44,322,19,69,39,224,20,172,0.01015955539793471,15,NewGudkova
288,189,48,290,9,29,40,290,86,80,0.0105054998691959,15,NewGudkova
190,229,49,347,21,92,31,232,24,156,0.010525166150581272,15,NewGudkova
277,174,64,268,1,359,24,268,70,88,0.010552731015761235,15,NewGudkova
7,249,60,20,20,118,20,12,68,68,0.010595964084627518,15,NewGudkova
261,250,80,59,9,150,1,250,44,104,0.010700811332883352,15,NewGudkova
139,199,44,304,13,47,41,208,14,174,0.010886694636885814,15,NewGudkova
280,178,58,274,3,7,30,274,76,86,0.010938688859415069,15,NewGudkova
123,191,45,294,11,34,41,194,12,170,0.010969848110950437,15,NewGudkova
247,259,69,40,16,134,11,244,36,118,0.011101934536509296,15,NewGudkova
291,191,45,294,11,35,41,294,88,78,0.011252710145015244,15,NewGudkova
255,258,74,50,13,142,6,248,40,112,0.011448661348116576,15,NewGudkova
56,173,64,268,2,359,25,94,20,96,0.011553235233224301,15,NewGudkova
225,248,59,18,21,116,21,240,30,136,0.011855799334601652,15,NewGudkova
172,213,44,324,19,71,39,226,20,172,0.012061063964695478,15,NewGudkova
63,175,60,272,3,4,29,106,16,104,0.012141740314955341,15,NewGudkova
137,196,44,300,13,43,42,206,14,176,0.012225003434233266,15,NewGudkova
293,195,45,298,11,39,41,298,88,78,0.01223846422502167,15,NewGudkova
27,258,78,57,10,147,4,48,50,76,0.012381875204777416,15,NewGudkova
133,195,44,300,13,43,41,204,14,174,0.012566062854353084,15,NewGudkova
250,263,73,48,13,140,8,246,38,112,0.012638984656355916,15,NewGudkova
234,252,62,26,19,123,18,242,32,130,0.012822048704494314,15,NewGudkova
215,241,55,7,22,108,25,238,28,144,0.012932238147928682,15,NewGudkova
87,185,51,284,6,19,37,148,10,134,0.012986627712484732,15,NewGudkova
26,254,77,56,12,147,3,46,50,74,0.013102410954222673,15,NewGudkova
226,246,58,16,21,115,22,240,30,138,0.01313127867336541,15,NewGudkova
146,204,44,310,15,54,41,214,16,174,0.013151040946328076,15,NewGudkova
201,231,50,352,23,96,29,234,26,154,0.013169469663443059,15,NewGudkova
178,217,45,330,21,78,36,228,22,168,0.013194938381477282,15,NewGudkova
